Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),7015,5,-50,-0.71,7102.0,27.1827,1792,12,2666
143860,2,TIGER 헬스케어,36350,2,335,0.93,36461.0,-4.3427,18468,666,2661
241180,4,TIGER 일본니케이225,22455,5,-155,-0.69,22415.0,9.4915,2884,64,2493
463290,6,1Q 단기금융채액티브,105805,3,0,0.0,105813.0,0.8627,0,0,2465
471230,6,KODEX 국고채10년액티브,113135,5,-145,-0.13,113170.0,2.0448,10070,1139,2455
480260,6,TIGER 27-04회사채(A+이상)액티브,52070,5,-10,-0.02,52081.0,1.4413,217,11,2420
487340,6,ACE CD금리&초단기채권액티브,101715,2,10,0.01,101722.0,0.9178,1097,111,2415
200250,4,KOSEF 인도Nifty50(합성),26135,5,-100,-0.38,26250.0,3.2264,9170,239,2352
423920,4,TIGER 미국필라델피아반도체레버리지(합성),24765,2,535,2.21,24015.0,14.6873,23385,575,2311
438330,6,TIGER 투자등급회사채액티브,114710,5,-55,-0.05,114744.0,1.7014,1,0,2305
488500,4,TIGER 미국S&P500동일가중,11105,5,-10,-0.09,11105.0,13.6968,16202,179,2304
245710,4,ACE 베트남VN30(합성),21335,5,-110,-0.51,21529.0,6.7712,1185,25,2304
487230,4,KODEX 미국AI전력핵심인프라,12945,5,-125,-0.96,12920.0,38.7473,48771,630,2298
479520,6,RISE KOFR금리액티브(합성),102215,2,25,0.02,102185.0,0.8288,639,65,2295
475720,3,RISE 200위클리커버드콜,8530,5,-25,-0.29,8536.0,-4.2101,21711,185,2295
449450,2,PLUS K방산,17825,5,-235,-1.3,17772.0,3.8229,49440,886,2264
448300,4,TIGER 미국나스닥100TR(H),17575,3,0,0.0,17486.0,12.3362,2118,37,2258
482730,4,TIGER 미국S&P500타겟데일리커버드콜,11465,3,0,0.0,11438.0,16.8705,22511,257,2230
466940,2,TIGER 은행고배당플러스TOP10,14130,5,-125,-0.88,14148.0,7.0436,21935,310,2225
251340,3,KODEX 코스닥150선물인버스,4075,2,5,0.12,4090.0,4.6272,6973753,28529,2209
452360,4,SOL 미국배당다우존스(H),11565,5,-15,-0.13,11560.0,3.4945,16811,194,2197
475080,7,KODEX 테슬라커버드콜채권혼합액티브,9985,5,-15,-0.15,9964.0,11.1234,20148,201,2192
409820,4,KODEX 미국나스닥100레버리지(합성 H),13010,3,0,0.0,12881.0,24.7363,11363,147,2160
455850,2,SOL AI반도체소부장,9550,2,20,0.21,9559.0,-13.7167,30682,291,2139
361580,1,RISE 200TR,18200,3,0,0.0,18224.0,-3.8055,695,12,2129
488980,6,SOL 26-12 회사채(AA-이상)액티브,50650,3,0,0.0,50655.0,,0,0,2097
290130,2,RISE ESG사회책임투자,12255,2,65,0.53,12285.0,-0.8944,1,0,2071
143850,4,TIGER 미국S&P500선물(H),65700,5,-225,-0.34,65716.0,8.5274,498,32,2070
388420,2,RISE 비메모리반도체액티브,9110,2,30,0.33,9128.0,-9.7864,25239,229,2033
091230,2,TIGER 반도체,29600,5,-40,-0.13,29645.0,-10.5613,5880,173,2031
466950,4,TIGER 글로벌AI액티브,18650,2,20,0.11,18424.0,33.7401,6153,114,2012
426030,4,TIMEFOLIO 미국나스닥100액티브,27550,5,-140,-0.51,27330.0,42.8424,26663,733,2006
462330,2,KODEX 2차전지산업레버리지,1496,5,-31,-2.03,1510.0,-37.5461,817606,1216,2002
473330,6,SOL 미국30년국채커버드콜(합성),10080,5,-25,-0.25,10056.0,1.0095,19138,192,2001
496080,1,TIGER 코리아밸류업,9505,2,10,0.11,9523.0,,711498,6736,2001
495850,1,KODEX 코리아밸류업,9465,5,-5,-0.05,9503.0,,24348,230,1988
372330,4,KODEX 차이나항셍테크,7210,5,-135,-1.84,7314.0,41.5221,33654,242,1983
487240,2,KODEX AI전력핵심설비,9200,2,100,1.1,9238.0,14.754,290158,2646,1978
367770,2,RISE 수소경제테마,8410,5,-35,-0.41,8440.0,-4.7915,4405,37,1968
365780,6,ACE 국고채10년,93600,5,-160,-0.17,93623.0,2.1128,436,40,1926
472160,4,TIGER 미국테크TOP10 INDXX(H),15445,5,-35,-0.23,15365.0,18.894,26300,406,1915
228790,2,TIGER 화장품,2680,3,0,0.0,2686.0,-11.8422,155194,415,1901
329650,7,KODEX TRF3070,13605,3,0,0.0,13598.0,6.0818,2889,39,1850
438080,7,ACE 미국S&P500채권혼합액티브,12945,2,15,0.12,12916.0,10.6073,24339,314,1812
476690,4,TIGER 글로벌비만치료제TOP2Plus,10135,5,-135,-1.31,10202.0,-10.3292,2783,28,1809
192090,4,TIGER 차이나CSI300,10510,5,-35,-0.33,10546.0,33.481,3290,34,1802
273140,6,KODEX 단기변동금리부채권액티브,112700,5,-15,-0.01,112738.0,0.7418,28,3,1802
456880,7,ACE 미국달러SOFR금리(합성),11770,2,20,0.17,11765.0,8.1454,786,9,1798
132030,5,KODEX 골드선물(H),16340,5,-265,-1.6,16338.0,7.3021,9427,153,1797
480020,4,ACE 미국빅테크7+데일리타겟커버드콜(합성),12385,5,-65,-0.52,12371.0,24.5622,40664,503,1771
395270,2,HANARO Fn K-반도체,9050,2,50,0.56,9064.0,-8.5366,30159,272,1765
483230,6,RISE 25-06 은행채(AA+이상)액티브,50915,3,0,0.0,50920.0,0.8118,0,0,1707
295040,1,SOL 200TR,12005,5,-65,-0.54,12037.0,-3.1689,24,0,1693
458210,7,히어로즈 CD금리액티브(합성),105590,2,15,0.01,105557.0,0.7924,2,0,1684
464540,6,RISE 25-03 회사채(AA-이상)액티브,51010,3,0,0.0,51013.0,0.8361,0,0,1680
272560,6,RISE 단기국공채액티브,111435,5,-10,-0.01,111443.0,0.8825,33,3,1641
438570,6,SOL 국고채10년,111685,5,-120,-0.11,111661.0,2.1563,11,1,1622
464930,4,TIGER 글로벌혁신블루칩TOP10,16340,5,-10,-0.06,16257.0,20.7533,372,6,1609
494890,1,KODEX 200액티브,9455,3,0,0.0,9498.0,,1,0,1607
305080,6,TIGER 미국채10년선물,12620,5,-5,-0.04,12618.0,3.3142,3338,42,1603
479730,4,TIGER 인도빌리언컨슈머,10520,5,-120,-1.13,10588.0,-4.2132,1262,13,1599
458260,6,TIGER 미국투자등급회사채액티브(H),49470,5,-295,-0.59,49439.0,-1.8249,21,1,1577
448600,6,RISE 25-11 회사채(AA-이상)액티브,52625,2,5,0.01,52618.0,0.9457,101,5,1565
451530,6,TIGER 국고채30년스트립액티브,63000,5,-240,-0.38,62787.0,10.7239,5086,320,1564
490490,7,SOL 미국배당미국채혼합50,10545,2,5,0.05,10518.0,,87510,922,1561
182480,7,TIGER 미국MSCI리츠(합성 H),13265,5,-15,-0.11,13376.0,-3.2846,778,10,1519
448540,7,ACE 엔비디아채권혼합블룸버그,22140,5,-40,-0.18,22106.0,8.6456,2439,54,1506
261260,7,KODEX 미국달러선물인버스2X,5360,5,-15,-0.28,5367.0,-13.2365,60243,322,1502
483320,4,ACE 엔비디아밸류체인액티브,9925,2,95,0.97,9777.0,16.8152,38434,382,1499
363570,6,KODEX 장기종합채권(AA-이상)액티브,101830,5,-250,-0.24,101953.0,3.9405,8,0,1497
414780,4,TIGER 차이나과창판STAR50(합성),8090,3,0,0.0,8196.0,61.477,1166,9,1489
461270,6,ACE 26-06 회사채(AA-이상)액티브,10870,5,-10,-0.09,10877.0,1.2093,3814,41,1488
480310,4,TIGER 글로벌온디바이스AI,10905,2,80,0.74,10921.0,14.3083,31508,343,1483
364960,2,TIGER BBIG,6265,2,85,1.38,6281.0,0.4878,3936,24,1482
219480,4,KODEX 미국S&P500선물(H),27420,5,-85,-0.31,27420.0,8.8014,124,3,1467
462540,6,SOL 25-09 회사채(AA-이상)액티브,53410,3,0,0.0,53411.0,0.8496,0,0,1452
461490,7,RISE 글로벌자산배분액티브,12970,5,-45,-0.35,12948.0,9.1862,32824,425,1440
435420,7,TIGER 미국나스닥100TR채권혼합Fn,13095,5,-5,-0.04,13065.0,6.9387,5627,73,1434
422420,2,RISE 2차전지액티브,7015,5,-70,-0.99,7050.0,-15.6548,4837,33,1421
434060,7,KODEX TDF2050액티브,14530,5,-40,-0.27,14511.0,11.4425,10563,153,1417
244580,2,KODEX 바이오,7900,2,40,0.51,7946.0,-6.4843,31640,248,1416
328370,1,PLUS 코스피TR,13550,2,185,1.38,13447.0,-4.1249,1,0,1396
277630,1,TIGER 코스피,25645,5,-95,-0.37,25702.0,-2.802,991,25,1385
472170,7,TIGER 미국테크TOP10채권혼합,13130,5,-20,-0.15,13085.0,11.6298,24356,319,1372
481180,4,SOL 미국AI소프트웨어,13705,5,-5,-0.04,13688.0,28.2507,97612,1337,1350
309230,4,ACE 미국WideMoat동일가중,28370,5,-25,-0.09,28283.0,11.5936,1476,41,1339
497570,4,TIGER 미국필라델피아AI반도체나스닥,10685,2,235,2.25,10383.0,,103567,1104,1325
461950,2,KODEX 2차전지핵심소재10,4710,5,-60,-1.26,4721.0,-17.4741,46090,216,1324
476800,7,KODEX 한국부동산리츠인프라,4630,2,10,0.22,4652.0,-10.0293,111028,514,1315
455860,2,SOL 2차전지소부장Fn,4360,5,-55,-1.25,4385.0,-18.3919,124549,541,1315
480030,4,ACE 미국500데일리타겟커버드콜(합성),11135,5,-50,-0.45,11128.0,16.8512,22858,254,1314
490090,4,TIGER 미국AI빅테크10,11925,2,5,0.04,11868.0,23.2678,21466,255,1300
461260,6,ACE 25-06 회사채(AA-이상)액티브,10725,2,5,0.05,10722.0,0.7992,97,1,1286
364970,2,TIGER 바이오TOP10,7190,2,90,1.27,7204.0,-5.898,94741,676,1247
433330,4,SOL 미국S&P500,18070,5,-35,-0.19,18035.0,17.048,5679,102,1247
463050,2,TIMEFOLIO K바이오액티브,11370,2,85,0.75,11399.0,-2.5054,119997,1348,1245
492500,7,1Q 현대차그룹채권(A+이상)&국고통안,50355,5,-35,-0.07,50372.0,,4,0,1245
466400,6,1Q 25-08 회사채(A+이상)액티브,106895,2,10,0.01,106898.0,0.8777,3,0,1226
326240,2,RISE IT플러스,15000,5,-30,-0.2,15035.0,-5.3527,111,1,1221
282000,3,RISE 국고채3년선물인버스,108965,2,15,0.01,108985.0,0.1977,1,0,1208
441640,4,KODEX 미국배당커버드콜액티브,12135,5,-30,-0.25,12121.0,14.4833,22558,273,1207
304940,4,KODEX 미국나스닥100선물(H),25360,2,15,0.06,25226.0,11.9973,1106,28,1205
475260,6,ACE 2월만기자동연장회사채AA-이상액티브,10360,3,0,0.0,10368.0,0.7782,134,1,1202
461460,6,PLUS 국고채10년액티브,55750,3,0,0.0,55746.0,1.8357,1,0,1192
232080,1,TIGER 코스닥150,11800,2,15,0.13,11841.0,-6.1704,55620,653,1182
481190,4,SOL 미국테크TOP10,13575,5,-35,-0.26,13495.0,27.6136,12900,174,1181
168580,4,ACE 중국본토CSI300,28740,5,-10,-0.03,28852.0,33.9077,15,0,1178
270810,1,RISE 코스닥150,11465,5,-15,-0.13,11457.0,-5.4756,576,6,1172
418660,4,TIGER 미국나스닥100레버리지(합성),27205,2,85,0.31,26896.0,44.2553,4586,124,1170
462900,2,KoAct 바이오헬스케어액티브,12990,5,-15,-0.12,13022.0,-3.3804,9627,124,1169
483290,4,KODEX 미국배당다우존스타겟커버드콜,10725,2,10,0.09,10733.0,9.2141,8130,87,1158
493810,4,TIGER 미국AI빅테크10타겟데일리커버드콜,11175,3,0,0.0,11154.0,,37553,419,1157
437080,6,KODEX 미국종합채권ESG액티브(H),102015,5,-310,-0.3,102022.0,-1.7287,32,3,1145
412770,4,TIGER 글로벌메타버스액티브,11930,2,55,0.46,11922.0,27.9633,5135,61,1133
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),17375,5,-85,-0.49,17495.0,6.4634,32,0,1133
472920,6,HK 종합채권(AA-이상)액티브,110025,3,0,0.0,110057.0,2.4632,0,0,1118
190620,6,ACE 단기통안채,103750,2,10,0.01,103751.0,0.7918,91,9,1113
245340,4,TIGER 미국다우존스30,30890,5,-110,-0.35,30903.0,15.3745,977,30,1112
476750,6,ACE 미국30년국채엔화노출액티브(H),9560,5,-65,-0.68,9536.0,-9.2752,10575,100,1109
494300,4,KODEX 미국나스닥100데일리커버드콜OTM,10870,2,5,0.05,10819.0,,15623,169,1109
453010,7,PLUS KOFR금리,106215,2,5,0.0,106219.0,0.8067,41,4,1107
401470,2,KODEX K-메타버스액티브,6810,2,135,2.02,6831.0,5.4502,11812,79,1086
465780,6,마이티 26-09 특수채(AAA)액티브,107505,3,0,0.0,107514.0,1.1668,0,0,1086
157490,2,TIGER 소프트웨어,8435,2,85,1.02,8450.0,13.2203,2639,22,1076
468820,6,WON 25-09 회사채(AA-이상)액티브,53820,5,-10,-0.02,53824.0,1.0038,6,0,1059
495710,6,BNK 26-06 특수채(AAA이상)액티브,50070,3,0,0.0,50071.0,,0,0,1058
130730,6,KOSEF 단기자금,104880,5,-5,0.0,104894.0,0.8073,106,11,1054
401170,2,RISE 메타버스,5980,2,105,1.79,5994.0,5.8558,444,2,1050
489870,6,히어로즈 25-09 회사채(AA-이상)액티브,50415,3,0,0.0,50434.0,,0,0,1049
325020,2,KODEX 배당가치,13475,3,0,0.0,13489.0,-0.7513,162,2,1038
486450,4,SOL 미국AI전력인프라,13200,5,-120,-0.9,13220.0,41.7021,88681,1170,1036
204480,4,TIGER 차이나CSI300레버리지(합성),19910,5,-250,-1.24,20407.0,74.1684,1352,26,1027
302450,1,RISE 코스피,25620,5,-75,-0.29,25645.0,-2.9536,78,1,1012
451060,1,1Q K200액티브,10500,2,5,0.05,10516.0,-3.6272,32,0,1008
283580,4,KODEX 차이나CSI300,13000,2,15,0.12,12973.0,34.0041,1800,23,1008
228800,2,TIGER 여행레저,3035,2,25,0.83,3045.0,-1.634,2156,6,1006
465350,3,RISE 2차전지TOP10인버스(합성),32575,2,225,0.7,32594.0,14.4322,25897,845,977
292560,7,TIGER 일본엔선물,8880,5,-10,-0.11,8895.0,-0.1685,2142,19,977
441800,1,TIMEFOLIO Korea플러스배당액티브,13145,5,-55,-0.42,13149.0,2.5163,6459,84,973
332940,1,HANARO MSCI Korea TR,13900,3,0,0.0,13877.0,-5.1842,0,0,959
385550,6,RISE 단기종합채권(AA-이상)액티브,110700,5,-5,0.0,110703.0,0.8793,3952,437,959
471990,2,KODEX AI반도체핵심장비,8085,2,35,0.43,8093.0,-15.883,41718,336,958
114820,6,TIGER 국채3년,107540,5,-30,-0.03,107545.0,1.3558,57,6,954
332930,1,HANARO 200TR,42235,3,0,0.0,42185.0,-3.3635,0,0,950
429000,4,TIGER 미국S&P500배당귀족,12770,3,0,0.0,12758.0,8.2386,3035,38,939
473440,6,ACE 11월만기자동연장회사채AA-이상액티브,10455,2,5,0.05,10454.0,0.82,70,0,938
400970,2,TIGER Fn메타버스,6765,2,100,1.5,6786.0,6.9823,4791,32,937
471760,2,TIGER AI반도체핵심공정,7865,2,5,0.06,7878.0,-14.7968,40643,319,936
445290,2,KODEX K-로봇액티브,12095,2,25,0.21,12105.0,-3.44,861,10,925
461500,6,HANARO 종합채권(AA-이상)액티브,113680,3,0,0.0,113602.0,2.5252,0,0,921
419890,6,히어로즈 단기채권ESG액티브,109805,3,0,0.0,109806.0,1.0816,0,0,911
472150,2,TIGER 배당커버드콜액티브,9925,2,10,0.1,9957.0,-1.8123,644,6,902
465610,4,ACE 미국빅테크TOP7 Plus레버리지(합성),29905,5,-135,-0.45,29551.0,61.1587,11345,338,897
486830,6,HANARO 머니마켓액티브,50775,5,-5,-0.01,50783.0,0.894,7,0,883
476070,4,KODEX 글로벌비만치료제TOP2 Plus,11200,5,-115,-1.02,11281.0,-9.7976,11451,129,879
228810,2,TIGER 미디어컨텐츠,5440,2,125,2.35,5449.0,27.0011,17694,95,875
